,OBJECTID,siteNo,location,SiteID,Easting,Northing,Current_,pollutants,InstrumentID,Exposure,tube_kerb,rec_kerb,comments,AQMA,Detailed_Location,Tube_Height,Elevation,Grid_ID,LocationClass,LAQM_Locationclass,Survey,RouteID,RouteSequenceID,Description,DateStart,DateEnd,Colocated,Duplicate_Triplicate,obstruction_m,obstruction_lt,inlet_flow_clear,junction_m,longitude,latitude
18,19,B6,Conham Vale,19,362921,172122,No,NO2,1,No,1.0,100.0,,No,On 5 T road sign at entrance to car park (in bracket holding sign).  Parking in car park. ,2.5,13.5,52.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,,No,No,,-2.5349374193143355,51.44686157275239
19,20,B7,Newfoundland Way,20,359567,173630,No,NO2,1,No,3.0,3.0,,Yes,on blue wedgewood building facade c.w. duke opposite cabot circus car park,2.0,9.9,57.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,,No,No,,-2.5833713425664975,51.46019039076201
20,21,B8,Gloucester Road,21,359035,175306,Yes,NO2,1,Yes,2.0,5.0,,Yes,By Nailsea Electrical on black lamp post,2.8,38.5,80.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,3.0,No,Yes,29.0,-2.591223636121801,51.475221232380214
21,22,B9,Stokes Croft,22,359109,173886,Yes,NO2,1,Yes,2.0,2.0,,Yes,Outside No. 62 Biblos,2.5,21.7,57.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,1.0,Yes,No,45.0,-2.589993149131989,51.462459134976214
22,23,BOM,Old Market,23,359555,173166,No,NO2,1,No,4.0,8.0,,Yes,at the rear of groundgog trailer housing the continuous analyser,2.5,14.0,57.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,,No,No,,-2.583490939638871,51.45601753036153
23,24,E1,Easton Primary School,24,360287,173623,No,BTX NO2,1,Yes,,,,No,,,14.6,58.0,Urban Background,Urban background,Easton School (DT),,,,,,,,,No,No,,-2.5730074922004293,51.460178633797184
24,25,F1,Filwood Bus Depot,25,359259,169200,No,BTX NO2,1,Yes,,,,No,,,62.0,23.0,Urban Background,Urban background,Filwood (DT),,,,,,,,,No,No,,-2.587292239744642,51.42033770414306
25,26,F2,59 Creswicke Rd,26,359553,169483,No,BTX NO2,1,Yes,,,,No,,,58.8,23.0,Urban Background,Urban background,Filwood (DT),,,,,,,,,No,No,,-2.583096850869994,51.422903293307705
26,27,F3,111 Creswicke Rd,27,359261,169482,No,BTX NO2,1,Yes,,,,No,,,62.9,23.0,Urban Background,Urban background,Filwood (DT),,,,,,,,,No,No,,-2.5872963047295974,51.42287336017366
27,28,F4,RO 243 Creswicke Rd,28,358913,169200,No,BTX NO2,1,Yes,,,,No,,,57.7,22.0,Urban Background,Urban background,Filwood (DT),,,,,,,,,No,No,,-2.592268257145369,51.42031264836733
28,29,O1,Fishponds - Gloucester St,29,361565,175046,No,BTX NO2,1,Yes,,,,No,,,35.8,82.0,Urban Traffic,Roadside,Other (DT),,,,,,,,,No,No,,-2.5547679405625807,51.47306135239954
29,30,OM,Old Market,30,359577,173163,No,BTX NO2,1,No,,,,No,,,14.0,57.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,,No,No,,-2.5831739784339502,51.45599213461197
30,31,SB1,Lawrence Weston,31,354998,177799,No,BTX NO2,1,Yes,,,,No,,,80.3,103.0,Rural Industrial,Industrial,Seabank (DT),,,,,,,,,No,No,,-2.649666117538609,51.49732774522595
31,32,SB2,Holesmouth,32,352107,180804,No,BTX NO2,1,Yes,,,,No,,,9.3,136.0,Rural Industrial,Industrial,Seabank (DT),,,,,,,,,No,No,,-2.691719767611706,51.52410630803511
32,33,SB3,Chitening Wharf,33,353511,182902,No,BTX NO2,1,Yes,,,,No,,,8.5,143.0,Rural Industrial,Industrial,Seabank (DT),,,,,,,,,No,No,,-2.6717619253536484,51.54308689778751
33,34,SB4,Hallen,34,354701,179811,No,BTX NO2,1,Yes,,,,No,,,7.1,129.0,Rural Industrial,Industrial,Seabank (DT),,,,,,,,,No,No,,-2.654203348399832,51.51539337264058
34,35,SB5,Severn Beach,35,353710,183826,No,BTX NO2,1,Yes,,,,No,,,7.0,144.0,Rural Industrial,Industrial,Seabank (DT),,,,,,,,,No,No,,-2.669014220328508,51.55141086289647
35,36,SB6,Lower Over Farm,36,358801,182601,No,BTX NO2,1,Yes,,,,No,,,43.0,0.0,Rural Industrial,Industrial,Seabank (DT),,,,,,,,,No,No,,-2.5954483798628356,51.540793283384154
36,37,SB7,Northwick Oaze,37,356394,188947,No,BTX NO2,1,Yes,,,,No,,,16.8,0.0,Rural Industrial,Industrial,Seabank (DT),,,,,,,,,No,No,,-2.63094495900307,51.597669510050316
37,38,SB8,Littleton Wharf,38,358763,191132,No,BTX NO2,1,Yes,,,,No,,,6.3,0.0,Rural Industrial,Industrial,Seabank (DT),,,,,,,,,No,No,,-2.5970011609105708,51.61749401500854
38,39,SB9,Earthcott Green,39,365605,183805,No,BTX NO2,1,Yes,,,,No,,,61.8,0.0,Rural Industrial,Industrial,Seabank (DT),,,,,,,,,No,No,,-2.49746068689677,51.55207627216405
39,40,SO1,Prince St Bridge (centre side),40,358630,172400,No,BTX NO2,1,No,,,,No,,,8.5,48.0,Urban Traffic,Roadside,Switch Off (DT),,,,,,,,,No,No,,-2.596713627932619,51.44906302704521
40,41,SO2,Prince St Bridge (Bedminster side),41,358635,172310,No,BTX NO2,1,No,,,,No,,,8.6,48.0,Urban Traffic,Roadside,Switch Off (DT),,,,,,,,,No,No,,-2.596631185635214,51.448254196076306
41,42,SO3,Hotwells - Pump House,42,357117,172337,No,BTX NO2,1,Yes,,,,No,,,9.2,47.0,Urban Traffic,Roadside,Switch Off (DT),,,,,,,,,No,No,,-2.6184774382739517,51.44838352286073
42,43,T1,Victoria St - A,43,359080,172843,No,BTX NO2,1,No,,,,No,,,9.6,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.59028962223018,51.45307902028453
43,44,T11,Portwall Lane - A,45,359308,172401,No,BTX NO2,1,No,,,,No,,,8.9,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.5869576824712865,51.44912138043712
44,45,T12,Portwall Lane - B,46,359309,172427,No,BTX NO2,1,No,,,,No,,,9.1,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.586946278778313,51.449355221666586
45,46,T13,Portwall Lane - C,47,359212,172413,No,BTX NO2,1,No,,,,No,,,9.1,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.588340454505876,51.44922233375891
46,47,T14,Portwall Lane - D,48,359215,172442,No,BTX NO2,1,No,,,,No,,,9.1,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.5883006234742933,51.44948329313379
47,48,T15,Redcliff St - A,49,359116,172450,No,BTX NO2,1,No,,,,No,,,9.1,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.5897261158117177,51.44954804840275
48,49,T16,Redcliffe St - B,50,359114,172491,No,BTX NO2,1,No,,,,No,,,8.9,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.589759624611217,51.44991653869884
49,50,T17,Redcliffe Hill - A,51,359050,172305,No,BTX NO2,1,No,,,,No,,,15.7,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.590659079665611,51.448239546023515
50,51,T18,Redcliffe Hill - B,52,359043,172177,No,BTX NO2,1,No,,,,No,,,16.3,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.590745016426545,51.447088175609295
51,52,T19,Guinea St,53,358944,172192,No,BTX NO2,1,No,,,,No,,,16.6,48.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.592171252666726,51.447215839623794
52,53,T2,Victoria St - B,54,359107,172853,No,BTX NO2,1,No,,,,No,,,9.4,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.58990222862502,51.45317089419918
53,54,T20,Commercial Rd - A,55,358739,172099,No,BTX NO2,1,No,,,,No,,,7.5,48.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.595110161763167,51.44636469818718
54,55,T21,Commercial Rd - B,56,358883,172091,No,BTX NO2,1,No,,,,No,,,8.4,48.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.5930372661506484,51.446303291719495
55,56,T22,Clarence Rd - A,57,359107,172020,No,BTX NO2,1,No,,,,No,,,8.9,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.5898060171992303,51.44568121796843
56,57,T23,Clarence Rd - B,58,359186,171993,No,BTX NO2,1,No,,,,No,,,6.4,41.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.588666218667208,51.44544418343347
57,58,T25,Clarence Rd - C,60,359352,172025,No,BTX NO2,1,No,,,,No,,,8.6,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.586281412443419,51.44574389435993
58,59,T26,Clarence Rd - D,61,359477,172119,No,BTX NO2,1,No,,,,No,,,8.7,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.584493599468467,51.44659806059138
59,60,T27,Clarence Rd - E,62,359594,172197,No,BTX NO2,1,No,,,,No,,,10.7,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.5828190028971996,51.44730776683381
60,61,T28,Temple Gate - A,63,359539,172306,No,BTX NO2,1,No,,,,No,,,9.8,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.5836228520946656,51.44828385530292
61,62,T29,Temple Gate - B,64,359560,172324,No,BTX NO2,1,No,,,,No,,,9.9,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.5833227317342398,51.44844720276235
62,63,T3,Victoria St - C,65,359267,172670,No,BTX NO2,1,No,,,,No,,,8.7,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.5875786073051197,51.45153706001794
63,64,T30,Bath Bridge,66,359666,172138,No,BTX NO2,1,No,,,,No,,,12.5,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.581776270254732,51.446782445476146
64,65,T31,York Rd - A,67,359567,172075,No,BTX NO2,1,No,,,,No,,,11.9,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.583193579915087,51.446208912311214
65,66,T32,York Rd - B,68,359324,171929,No,BTX NO2,1,No,,,,No,,,11.6,41.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.5866732721804797,51.44487872666277
66,67,T33,York Rd - C,69,359153,171927,No,BTX NO2,1,No,,,,No,,,11.6,41.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.589133431363525,51.444848379427825
67,68,T34,Temple Way - A,70,359462,172709,No,BTX NO2,1,No,,,,No,,,9.3,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.5847769773817206,51.45190178679176
68,69,T35,Temple Way - B,71,359519,172707,No,BTX NO2,1,No,,,,No,,,9.9,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.5839564962688994,51.451887901758475
69,70,T4,Victoria St - D,72,359304,172669,No,BTX NO2,1,No,,,,No,,,8.8,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.587046052764424,51.45153074211064
70,71,T5,Pipe Lane,73,359519,172502,No,BTX NO2,1,No,,,,No,,,10.1,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.583933039722713,51.45004468031411
71,72,T7,Redcliffe Way - B,75,359386,172407,No,BTX NO2,1,No,,,,No,,,8.7,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.585835989782436,51.44918095394363
72,73,T8,Redcliffe Way - C,76,359364,172393,No,BTX NO2,1,No,,,,No,,,8.6,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.586150953326701,51.44905349231968
73,74,T9,Redcliffe Way - D,77,359325,172369,No,BTX NO2,1,No,,,,No,,,8.8,49.0,Urban Traffic,Roadside,Temple Way Old Ones (DT),,,,,,,,,No,No,,-2.586709387683173,51.44883489194825
74,75,W1,St Nicholas Rd,78,359718,174069,No,BTX NO2,1,Yes,,,,Yes,,,13.0,67.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.581248104688814,51.464148411648885
75,76,W10,Cotham Lawn Rd,79,358334,174113,No,BTX NO2,1,Yes,,,,No,,,77.3,66.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.6011753983013257,51.464443398061334
76,77,W11,The Limes Nursery School,80,361538,174066,No,BTX NO2,1,Yes,,,,No,,,39.7,69.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.5550495915657745,51.46424823535771
77,78,W12,Eastville Park,81,361657,175362,No,BTX NO2,1,No,,,,Yes,Park in car park at the end of Park Avenue and walk into park past the playground.  Walk along the northern edge of the playing field past the disused,2.6,33.7,82.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.5534778604831025,51.47590876885662
78,79,W13,Novers Lane School,82,358488,169376,No,BTX NO2,1,Yes,,,,No,,,52.5,22.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.5984013275436357,51.421864050790724
79,80,W14,St Mathias,83,363401,176205,No,BTX NO2,1,Yes,,,,No,,,59.4,97.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.528455516980259,51.48360402905331
80,81,W15,Farmwell Close,84,357821,168118,No,BTX NO2,1,Yes,,,,No,,,51.6,13.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.607842719444675,51.41050346517592
81,82,W16,Blaise Castle,85,356182,178724,No,BTX NO2,1,Yes,,,,No,,,51.6,120.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.6327259798541376,51.50573763058022
82,83,W17,Petherton Rd,86,360804,169430,No,BTX NO2,1,Yes,,,,No,,,58.9,24.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.565099797206932,51.422514586553135
83,84,W18,Henleaze Infants School,87,358070,176308,No,BTX NO2,1,Yes,,,,No,,,80.3,92.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.605237148695138,51.48415909107563
84,85,W19,Summerleaze Office,88,364242,175236,No,BTX NO2,1,Yes,,,,No,,,86.2,85.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.5162464903439945,51.47494549418897
85,86,W2,Avon County School,89,352688,177728,No,BTX NO2,1,Yes,,,,No,,,6.3,101.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.6829310686536196,51.49650004190421
86,87,W20,Southmead Hospital,90,358920,177764,No,BTX NO2,1,Yes,,,,No,,,73.8,107.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.593165967981536,51.497312480841124
87,88,W21,Stile AcresBroadlands Drive,91,354577,178339,No,BTX NO2,1,Yes,,,,No,,,21.5,118.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.6558001060099152,51.502148970635
88,89,W22,The Square,92,360365,170398,No,BTX NO2,1,Yes,,,,No,,,58.4,32.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.57152246774236,51.43118755406222
89,90,W23,Hannah Moore School,93,359937,172910,No,BTX NO2,1,Yes,,,,Yes,,,9.5,49.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.577964298082191,51.45374302471645
90,91,W24,Brangwyn Grove,94,360830,176706,No,BTX NO2,1,Yes,,,,No,,,74.1,94.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.565534821580927,51.48793594713371
91,92,W25,Redland Court,95,358120,175094,No,BTX NO2,1,Yes,,,,No,,,72.7,79.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.6043727216648356,51.47324787283144
92,93,W26,Dundridge Playing Fields,96,363392,172539,No,BTX NO2,1,Yes,,,,No,,,56.8,53.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.5282034496765444,51.45064162588489
93,94,W27,Airballoon Infants School,97,363293,173419,No,BTX NO2,1,Yes,,,,No,,,76.7,61.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.5297197859583913,51.45854748651449
94,95,W28,Trowbridge Rd,98,358383,178261,No,BTX NO2,1,Yes,,,,No,,,57.4,122.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.6009600857427055,51.50174160486838
95,96,W29,Greville Smyth Park,99,357099,171627,No,BTX NO2,1,Yes,,,,No,On junction of Wells Street and West Street ,2.8,7.9,39.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.61865028733268,51.44199847315068
96,97,W3,Ashton Vale School,100,356436,170633,No,BTX NO2,1,Yes,,,,No,,,10.6,28.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.6280666808850186,51.433010681439754
97,98,W30,Stockwood Green School,101,362211,167944,No,BTX NO2,1,Yes,,,,No,,,91.3,11.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.544706650915833,51.40924896729617
98,99,W31,Bishops Close,102,356388,175417,No,BTX NO2,1,Yes,,,,No,,,76.0,77.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.629349156229855,51.47602065762965
99,100,W32,Elmlea Jnr School,103,356907,176429,No,BTX NO2,1,Yes,,,,No,,,47.0,90.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.622000114692965,51.48515936291309
100,101,W33,Teyfant Primary School,104,359124,167591,No,BTX NO2,1,Yes,,,,No,,,70.7,8.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.5890473531359546,51.405860970646636
101,102,W34,Victoria Park,105,359097,171368,No,BTX NO2,1,Yes,,,,No,On Lamp post on footpath in the park to the left of the entrance at the top of Nutgrove Avenue ,3.5,38.7,41.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.5898746712999476,51.439818405937494
102,103,W4,Brunel College,106,359783,175528,No,BTX NO2,1,Yes,,,,No,,,56.9,80.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.580479144396356,51.47727103473025
103,104,W5,Kingshead Lane Park,107,356840,169107,No,BTX NO2,1,Yes,,,,No,,,57.5,20.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.6220695010571693,51.419321591586865
104,105,W6,Broomhill Jnr School,108,362648,171316,No,BTX NO2,1,Yes,,,,No,,,65.7,44.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.53878075646014,51.43959670403153
105,106,W7,St Annes Jnr School,109,361859,172204,No,BTX NO2,1,Yes,,,,No,,,34.6,51.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.550227961791242,51.44752830760638
106,107,W8,Council House,110,358218,172688,No,BTX NO2,1,Yes,,,,Yes,,,17.0,48.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.6026761119643744,51.45162210395225
107,108,W9,Clifton College,111,356961,173893,No,BTX NO2,1,Yes,,,,No,,,68.3,54.0,Urban Background,Urban background,Wards (DT),,,,,,,,,No,No,,-2.6209125016949115,51.46236212713957
108,109,RT112,Victoria Street a,112,359050,172929,No,BTX NO2,1,No,,,,No,,,6.1,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5907313158587093,51.453850099607294
109,110,RT113,Victoria Street,113,359258,172696,Yes,NO2,1,Yes,3.0,5.0,,Yes,Outside Transom House on black Lampost,2.8,8.8,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,2.0,No,Yes,136.0,-2.587711116597655,51.45177018534389
110,111,RT114,Redcliffe Street south,114,359107,172436,No,BTX NO2,1,No,,,,No,,,9.1,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.589854007081192,51.44942151989429
111,112,RT115,Redcliffe Hill a,115,359050,172305,No,BTX NO2,1,No,,,,No,,,15.7,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.590659079665611,51.448239546023515
112,113,RT116,Redcliff Hill b,116,359043,172139,No,BTX NO2,1,No,,,,No,,,13.9,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.590740626476799,51.44674651347905
113,114,RT117,Commercial Rd b,117,358883,172091,No,BTX NO2,1,No,,,,No,,,8.4,48.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5930372661506484,51.446303291719495
114,115,RT118,Clarence Road a,118,359143,172014,No,BTX NO2,1,No,,,,No,,,9.0,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.589287340513123,51.44562988178933
115,116,RT119,Clarence Road e,119,359607,172204,No,BTX NO2,1,No,,,,No,,,7.9,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.582632743678128,51.44737163645573
116,117,RT120,Templegate a,120,359539,172306,No,BTX NO2,1,No,,,,No,,,9.8,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5836228520946656,51.44828385530292
117,118,RT121,Templegate b,121,359560,172324,No,BTX NO2,1,No,,,,No,,,9.9,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.5833227317342398,51.44844720276235
118,119,RT122,Bath Bridge south,122,359666,172138,No,BTX NO2,1,No,,,,No,,,12.5,49.0,Urban Traffic,Roadside,redcliffe way templegate (DT),,,,,,,,,No,No,,-2.581776270254732,51.446782445476146
